pool_id,Protocol,Chain,Asset,APY (%),TVL ($M),TVL Score,Avg APY 30d,Volatility,Sharpe
438ef4a3-aad3-41a0-831b-f8cba5a6bdc5,morpho-v1,Ethereum,SKYMONEYUSDCRISKCAPITAL,3.89,20.4,8,,,
aaae213a-2331-4033-b259-0af9b161f101,morpho-v1,Ethereum,OETH,0.0,18.9,7,,,
832c94db-4948-4f14-aa65-af6e737d984e,morpho-v1,Base,BBQUSDC,4.81,18.5,7,,,
677f756a-eda4-48b0-ba35-60adc9b44d88,morpho-v1,Ethereum,HUSDC,2.28,17.6,7,,,
e8f3da05-4607-4911-8df1-e91f95b52637,morpho-v1,Arbitrum,WSTETH,0.0,17.2,7,,,
4a433427-2a7e-4193-bf83-e15c996915e8,morpho-v1,Arbitrum,BBQUSDC,2.99,17.1,7,,,
70031321-152a-4552-a056-56ecf61b0e4a,morpho-v1,Ethereum,UPGAMMAUSDC,0.0,16.5,7,,,
775d99be-339d-4d3c-84d8-ca85d0977b44,morpho-v1,Ethereum,ETH+,0.0,16.3,7,,,
8b2c7c75-efe6-431f-abb5-29a1e10eb686,morpho-v1,Ethereum,SYRUPUSDT,0.0,16.0,7,,,
3d438f2e-0022-4814-80be-f626ba8fcd40,morpho-v1,Ethereum,HYPERUSDCA,5.14,15.1,7,,,
ca553126-d5b2-48fb-903b-e4585c18eed5,morpho-v1,Ethereum,GTMSUSDC,2.29,14.9,7,,,
ca969cae-bbcb-4cd7-985e-be4df9815e15,compound-v3,Ethereum,WSTETH,0.0,14.7,7,,,
50e33cf0-be8d-4e14-a331-72eb93ead630,morpho-v1,Ethereum,KPK-ETH-PRIME,3.05,14.6,7,,,
59444b82-6f00-4f1f-89a6-48a0d715c10f,morpho-v1,Ethereum,KPK-ETH-PRIMEV2,2.03,14.3,7,,,
ebe53ee0-db95-478e-8476-b8aa420be700,compound-v3,Ethereum,WEETH,0.0,14.2,7,,,
025dadbc-c175-4a37-a5ec-dff5062b1a50,morpho-v1,Ethereum,GTUSDT,2.79,13.8,7,,,
afce8a53-cee4-4e62-b2b4-f80dcaaf87b5,morpho-v1,Base,WSTETH,0.0,13.4,7,,,
ff113246-f6e0-4e10-b92c-abd3cd1d7dd6,morpho-v1,Ethereum,GTUSDCF,5.33,13.0,7,,,
4280d14b-b720-41e2-afab-a1760dbb0d54,morpho-v1,Base,MWETH,1.64,12.5,7,,,
ec49cd0b-42a0-4933-9668-f9778305d34b,morpho-v1,Arbitrum,SYRUPUSDC,0.0,12.4,7,,,
a5fab52f-73fa-4f44-9c09-9af1eb20996c,morpho-v1,Base,SPARKUSDC,3.88,12.4,7,,,
d2fa07c7-dd34-4d97-bc85-02a3425e25f4,compound-v3,Ethereum,RSETH,0.0,12.3,7,,,
086d98c3-e23e-42b2-9425-cb8915724337,morpho-v1,Ethereum,GTUSDCRWA,4.93,12.0,7,,,
b39b492a-0a64-4926-8598-d5acf05d62b5,morpho-v1,Base,MWUSDC,3.86,12.0,7,,,
935fb02d-9645-4d46-85e0-5504bd01ef80,morpho-v1,Ethereum,REECOUSDC,4.54,11.9,7,,,
ef5d3acb-b974-4db1-8076-e8db9f142493,morpho-v1,Ethereum,STEAKUSDT,2.76,11.8,7,,,
80b2d4bf-dac4-4c69-91da-cdc740de1e3b,morpho-v1,Ethereum,SBMORPHOUSDC,2.29,11.4,7,,,
05c5acfb-eb6c-40bd-865c-2015c017e953,morpho-v1,Ethereum,CSUSDC,6.7,10.9,7,,,
baf1a020-a2a4-401a-9425-eba22ffce13c,morpho-v1,Ethereum,GTUSDCCORE,5.42,10.7,7,,,
fdf02dc0-c38d-4850-8d61-74668d281325,aave-v3,Ethereum,CBETH,0.0,10.4,7,,,
507af9bc-1139-4bf1-b158-ae1f36eb4396,morpho-v1,Ethereum,AUSDC,6.52,9.9,6,,,
89222e6a-f39f-4500-aeea-f615d61b81f0,morpho-v1,Ethereum,BBQUSDT,3.7,9.8,6,,,
85247b13-8180-44e7-b38c-4d324cc68a92,compound-v3,Arbitrum,USDT,1.88,9.6,6,,,
5a55b869-de6e-42ba-9091-6ee0e02525c2,morpho-v1,Ethereum,HYPERUSDCA,4.73,9.4,6,,,
54470a44-22f4-4508-bbbb-2d8e2770ab77,aave-v3,Base,CBETH,0.05,9.3,6,,,
663f2db7-98e3-4e75-9ab0-1020cf07bf48,morpho-v1,Ethereum,KPK-USDC-PRIME,3.18,8.9,6,,,
43ab2daf-7a79-4311-bf12-ba5975896ca1,morpho-v1,Ethereum,SAVETH,0.0,8.9,6,,,
052e3f85-e489-4bee-9e34-c7898ef1d449,morpho-v1,Ethereum,KPK-USDC-PRIMEV2,3.27,8.7,6,,,
931ea9be-5f4d-428e-beaf-205fc5b4e2b5,morpho-v1,Ethereum,STEAKUSDC,2.57,8.3,6,,,
ef8c5c38-6a41-4383-9dc8-6fb31e69a0c9,aave-v3,Ethereum,WETH,1.6,8.1,6,,,
26d78710-ac11-404e-b13c-25709d68c6c6,morpho-v1,Ethereum,AUGUSTUSDC,5.44,8.0,6,,,
df22be39-3524-4843-93c3-ae4afabd93a7,morpho-v1,Ethereum,AUGUSTUSDCV2,6.12,8.0,6,,,
3b6ebb7e-6f2a-4c19-aadb-1c89625e5a08,aave-v3,Ethereum,TETH,0.0,7.9,6,,,
03f97f6b-3e17-4ccd-8687-0b3f736441b3,compound-v3,Arbitrum,WSTETH,0.0,7.8,6,,,
671d794e-9d7e-469e-8573-4298e5a02c17,morpho-v1,Base,GTMSETHC,1.0,7.6,6,,,
32ab021e-6faa-46e2-b609-f15f34d25b09,morpho-v1,Ethereum,CSUSDCCORE,6.51,7.5,6,,,
3249c91f-8638-4d9e-aac2-ae0dd3b7261f,morpho-v1,Ethereum,API3COREUSDC,2.31,7.2,6,,,
0c2bec53-0061-40f8-b389-6b253b49783e,morpho-v1,Ethereum,API3COREUSDC,2.48,7.2,6,,,
c1949c46-0c01-445f-8017-b3192d9913bc,morpho-v1,Base,PUSDC,3.87,7.2,6,,,
d9c395b9-00d0-4426-a6b3-572a6dd68e54,compound-v3,Arbitrum,USDC,2.35,6.9,6,,,
225604c7-9d4c-4954-aeb8-7b1aea292496,morpho-v1,Ethereum,GTMSETHC,2.26,6.7,6,,,
47b14805-10c9-4c45-ab0e-c9ca06e87219,morpho-v1,Ethereum,BBQWSTETH,0.44,6.7,6,,,
7aad812f-4ed1-42ea-8c8f-654b5ef49d25,morpho-v1,Arbitrum,GTUSDCP,3.15,6.7,6,,,
72d3850b-ea48-4500-9cc2-a8b121e1c08c,morpho-v1,Ethereum,STEAKUSDCINFINIFI,7.04,6.6,6,,,
ab3e992c-dffc-4895-a1a7-58f23460b092,morpho-v1,Ethereum,HUSDT,2.7,6.5,6,,,
caadc34e-3216-4e4b-96d0-ebde9be9d12e,morpho-v1,Ethereum,MHYETH,1.73,6.5,6,,,
66b1ddd8-d9ff-4018-9aaf-9dc9c6e5bb7b,morpho-v1,Ethereum,AA-FALCONXUSDC,0.0,6.4,6,,,
e553e77d-7ddc-4816-a1c9-4e68605f882c,morpho-v1,Ethereum,USUALUSDC+,9.38,6.4,6,,,
5d481e48-c69d-446a-979e-7f840f42705d,morpho-v1,Base,WSUPEROETHB,0.0,6.4,6,,,
0a92137f-b198-4935-96ea-84f0a8713e06,morpho-v1,Ethereum,MCWETH,1.85,6.2,6,,,
0e289cf3-fee2-43fc-b387-ae7a20cfaf07,compound-v3,Arbitrum,WETH,0.0,5.9,6,,,
02f30b87-2a08-4ae9-9f2f-213e72b4151a,morpho-v1,Ethereum,KPK-USDC-YIELD,6.12,5.7,6,,,
4c1b8c3d-3b3d-4dac-b334-49c405d9bf8f,morpho-v1,Ethereum,KPK-USDC-YIELDV2,5.8,5.7,6,,,
a7262f82-b4fd-4e5d-adea-43fb1e5df68d,morpho-v1,Ethereum,RETH,0.0,5.7,6,,,
0b5fa01f-9759-4401-b15b-f9ed6fd06e2b,morpho-v1,Ethereum,YMVOG-USDC,5.52,5.5,6,,,
785d94f7-fa71-415c-b594-3767680580be,morpho-v1,Ethereum,SYRUPUSDC,0.0,5.4,6,,,
0f1750bb-94e1-4527-9443-a9ac19e15f41,morpho-v1,Base,PRIMEUSDC,3.84,5.2,6,,,
05b39877-c068-450b-bd0c-cc6e47886aa7,compound-v3,Arbitrum,WSTETH,0.0,5.2,6,,,
50f2d0ab-a2ed-4c90-a92c-a8565a1a207c,morpho-v1,Ethereum,YMVOG-WETH,1.83,5.2,6,,,
d83facac-3757-4b19-a84c-f3c0850dfe2a,compound-v3,Base,WETH,0.0,5.0,5,,,
aebb9f47-d15b-4671-8fe3-debb6e913ae2,morpho-v1,Arbitrum,GTUSDCC,3.21,4.9,5,,,
27296bf9-617a-46e4-9d6d-eefc71e9e0b6,aave-v3,Ethereum,USDC,2.5,4.9,5,,,
317747cc-b7b2-4acd-9047-73569916befe,morpho-v1,Base,CBETH,0.0,4.7,5,,,
bf346d43-ef94-4277-b159-ebadb93caef1,morpho-v1,Base,BBQUSDC,4.57,4.5,5,,,
34b65551-cca1-48f4-9a62-2145c24e92a4,morpho-v1,Base,CSUSDC,5.31,4.3,5,,,
4e7fd7a4-4f10-421a-8ba0-0531b105bddb,compound-v3,Arbitrum,WETH,0.0,4.3,5,,,
5fd0350b-97bf-4d8b-a14f-c1180687221b,morpho-v1,Ethereum,UPUSDC,0.0,4.2,5,,,
55e01f49-a667-475e-bb98-fe02a02f355b,morpho-v1,Base,EXMWETH,1.99,4.2,5,,,
cbf8dbc3-a984-4600-9823-b27878b166a1,morpho-v1,Ethereum,YNETHX,0.0,4.1,5,,,
954cd4ab-4253-4d86-a968-2cb5017c497b,morpho-v1,Ethereum,WSTETH,0.0,3.9,5,,,
f28eb055-b5a9-4832-8fa3-caf3acefceec,morpho-v1,Base,WSTETH,0.0,3.9,5,,,
e44714af-97f9-4d68-917d-83625ae02ba5,morpho-v1,Base,SMWETH,0.77,3.8,5,,,
24d74dab-0cac-4c7b-982c-c9a44fb66049,morpho-v1,Ethereum,YNETHX,0.0,3.8,5,,,
31063861-ab4d-43a7-a071-c240fe08a8be,compound-v3,Ethereum,TETH,0.0,3.7,5,,,
bd99ea12-7e48-4111-83ee-a0c42eef4bd2,compound-v3,Ethereum,WEETH,0.0,3.6,5,,,
3bb1186e-cbf3-4615-b5bb-8b0a4f4c8363,morpho-v1,Ethereum,GTUSDTF,2.92,3.5,5,,,
974c8391-3686-4fc9-8477-9df4b618b594,aave-v3,Ethereum,EZETH,0.0,3.3,5,,,
0d999bae-a3d5-4c08-93f6-98abb32ce290,morpho-v1,Ethereum,WSTETH,0.0,3.3,5,,,
b8f4482a-30e5-4e3b-95c7-ccaa86aeeaef,morpho-v1,Base,CBETH,0.0,3.3,5,,,
e2e8fb7a-15f7-4e84-8551-5604cd4015be,morpho-v1,Arbitrum,PT-USDAI-18JUN2026,0.0,3.3,5,,,
9e982350-5e38-4174-afac-dd0d6b244a00,morpho-v1,Ethereum,AVGUSDCCONS,2.34,3.2,5,,,
775d91ae-e10e-4bd9-a444-9caf0d18d85d,morpho-v1,Ethereum,3F-STEAKUSDC,2.57,3.1,5,,,
30d7bddf-9c7b-4495-a34a-e8d4ab1ff5c3,aave-v3,Ethereum,ETHX,0.0,3.0,5,,,
295c1e2b-7a9b-47d9-bdde-19d35ac0a8ca,morpho-v1,Ethereum,AWETH,2.17,2.9,5,,,
8ad4f4c1-63dc-432a-a5f0-8d405eb39f13,morpho-v1,Ethereum,SVETH,2.52,2.9,5,,,
04b66432-af9e-44d0-a44d-80189f511b13,morpho-v1,Ethereum,YOG-USDC-V2,5.24,2.9,5,,,
d741644d-86ea-44ad-af5e-3042de381173,morpho-v1,Ethereum,RE7WETH,2.18,2.8,5,,,
d4cdd2fb-54bd-40fe-8093-e691ea0b291a,aave-v3,Arbitrum,RETH,0.01,2.7,5,,,
6f87228c-3cb2-476f-a06b-10e115dcc8ac,morpho-v1,Ethereum,WSTETH,0.0,2.6,5,,,
56e4307a-66f7-4757-a908-fe4181112bf9,morpho-v1,Ethereum,ALPHAUSDCASIAV2,11.68,2.6,5,,,
ac9e09d3-34c6-4fa7-9d2f-4debe8277df1,morpho-v1,Ethereum,WEETH,0.0,2.6,5,,,
ba74d2b3-ed94-45b2-8536-92dcc29dac8e,morpho-v1,Base,YMVOG-USDC,4.55,2.5,5,,,
